N,1st Run,2nd Run,3rd Run,Average,Time 1,Time 2,Time 3,Average Time
62000,4758,4481,4593,4610.666666666667,8.043153,8.0387386,7.7776155,7.9531690333333325
63000,4483,4485,4527,4498.333333333333,7.9262312,7.8336031,7.9087578,7.889530700000001
64000,4706,4491,4475,4557.333333333333,8.0259776,8.1168251,8.0337261,8.058842933333333
65000,4773,4617,4584,4658,8.242768,8.1116876,8.1508862,8.168447266666668
66000,4486,4619,4696,4600.333333333333,8.2870712,8.2605853,8.436243,8.3279665
67000,4764,4806,4490,4686.666666666667,8.3313899,8.4913548,8.4734007,8.432048466666666
68000,4490,4492,4654,4545.333333333333,8.582844,8.6244953,8.5586094,8.588649566666668
69000,4611,4632,4513,4585.333333333333,8.561914699999999,8.6513109,8.5904826,8.601236066666667
70000,4583,4553,4489,4541.666666666667,8.7987962,8.8568588,8.8989299,8.8515283
71000,4494,4480,4479,4484.333333333333,9.0019843,9.0426969,8.9326983,8.992459833333333
72000,4493,4484,4721,4566,9.0498521,9.0951844,9.4711721,9.205402866666669
73000,4754,4706,4606,4688.666666666667,9.1710047,9.1736923,9.2010546,9.181917200000001
74000,4488,4471,4674,4544.333333333333,9.2249247,9.3105036,9.4661184,9.3338489
75000,4652,4556,4758,4655.333333333333,9.56033,9.517267,9.3733587,9.4836519
76000,4775,4760,4696,4743.666666666667,9.527862,9.6902532,9.5882655,9.6021269
77000,4649,4496,4490,4545,9.7787013,9.5742375,9.5612077,9.638048833333334
78000,4654,4495,4548,4565.666666666667,9.6394702,9.7064076,9.7669193,9.7042657
79000,4662,4678,4561,4633.666666666667,9.880893499999999,10.0044621,9.8712556,9.918870399999998
80000,4676,4518,4662,4618.666666666667,10.0321118,10.1042545,10.0385461,10.058304133333332
81000,4488,4531,4768,4595.666666666667,10.2373514,10.1130813,10.1630052,10.171145966666666
82000,4783,4487,4819,4696.333333333333,10.2660153,10.2449845,10.4981253,10.336375033333333
83000,4579,4562,4489,4543.333333333333,10.4673237,10.5549775,10.4850625,10.502454566666666
84000,4705,4761,4507,4657.666666666667,10.7850803,10.7774677,10.4757279,10.6794253
85000,4493,4741,4738,4657.333333333333,10.6527296,10.6445304,10.6083424,10.6352008
86000,4821,4499,4650,4656.666666666667,10.9589555,10.9169183,10.9371862,10.937686666666666
87000,4488,4770,4740,4666,11.0427376,10.9788235,10.9660066,10.9958559
88000,4525,4598,4587,4570,11.0731919,11.3972264,11.125448,11.1986221
89000,4690,4752,4490,4644,11.2220673,11.2040028,11.1945381,11.2068694
90000,4568,4492,4601,4553.666666666667,11.2583914,11.3292251,11.4325019,11.340039466666667
91000,4712,4839,4604,4718.333333333333,11.4052144,11.5997183,11.3698116,11.458248099999999
92000,4496,4579,4618,4564.333333333333,11.5186019,11.541402,11.5523816,11.537461833333333
93000,4709,4663,4591,4654.333333333333,11.8342585,11.7674534,11.7111141,11.770942
94000,4823,4779,4747,4783,11.8921174,11.9066885,11.8241521,11.874319333333332
95000,4804,4668,4865,4779,11.9629354,11.9557576,11.9484551,11.955716033333331
96000,4729,4537,4815,4693.666666666667,12.0695627,12.1215559,12.0391444,12.076754333333334
97000,4861,4493,4747,4700.333333333333,12.1446,12.1368903,12.1391797,12.140223333333333
98000,4646,4845,4859,4783.333333333333,12.3930409,12.2659929,12.334756,12.331263266666667
99000,4745,4823,4526,4698,12.5763936,12.6154774,12.5472791,12.5797167
100000,4810,4807,4799,4805.333333333333,12.6175112,12.6623373,12.638526,12.639458166666666
